M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
3,2,LOPAMM,7,7.461470,6.358168,143.028230,22.021195,0.016076,0.114753,,60,6
3,2,ind,7,11.995410,30.958149,199.582756,25.325559,0.040211,0.173960,,60,6
3,2,base,7,5.290188,11.477490,79.491712,7.534020,0.014202,0.108834,,45,6
3,2,LOPAMM,8,5.309334,7.390521,126.723397,11.480545,0.023155,0.139853,,58,6
3,2,ind,8,5.195223,15.067556,157.007058,13.487247,0.040562,0.187575,,58,6
3,2,base,8,3.403251,6.876736,84.142305,3.639067,0.025362,0.147187,,44,6
3,2,LOPAMM,9,6.472510,7.745351,102.495191,12.656618,0.014606,0.102566,,58,6
3,2,ind,9,3.224620,23.776144,124.107359,13.044650,0.022915,0.137408,,58,6
3,2,base,9,1.732644,9.043434,61.999495,3.491338,0.015838,0.106665,,44,6
3,2,LOPAMM,10,7.345625,8.989237,130.127004,22.315273,0.021343,0.131784,,60,6
3,2,ind,10,19.609519,24.277888,173.842943,19.745135,0.041120,0.172716,,60,6
3,2,base,10,6.831100,9.708034,68.771882,7.309338,0.014121,0.101337,,45,6
3,2,LOPAMM,11,6.635229,7.257838,126.319653,8.130461,0.023062,0.156628,,58,6
3,2,ind,11,5.896009,12.626773,147.947209,6.788483,0.033630,0.182058,,58,6
3,2,base,11,1.649403,5.262120,64.166262,1.853524,0.017422,0.128222,,44,6
3,2,LOPAMM,12,1.947090,6.599118,122.305027,4.012840,0.029243,0.166694,,60,6
3,2,ind,12,2.313071,12.715725,148.737022,3.967873,0.039331,0.187569,,60,6
3,2,base,12,0.656544,4.509042,64.900309,0.983573,0.021302,0.135822,,45,6
3,2,LOPAMM,13,6.756588,9.784979,159.959722,11.798283,0.024425,0.148857,,64,6
3,2,ind,13,8.716314,18.271226,179.873743,11.822385,0.044894,0.190969,,64,6
3,2,base,13,2.289350,7.492048,86.007678,2.526691,0.024571,0.144912,,47,6
3,2,LOPAMM,14,11.005051,13.897576,129.801134,26.385433,0.022569,0.142041,,60,6
3,2,ind,14,19.915954,25.428343,148.077551,15.587647,0.041937,0.180167,,60,6
3,2,base,14,7.867371,12.155759,71.623692,7.360174,0.017011,0.119782,,45,6
3,2,LOPAMM,15,6.821191,8.393119,108.840307,12.666781,0.013586,0.095441,,68,6
3,2,ind,15,11.880529,23.808071,138.344670,12.492312,0.025465,0.124079,,68,6
3,2,base,15,4.157964,8.258625,50.212167,4.102091,0.008994,0.072033,,49,6
3,2,LOPAMM,16,23.352757,13.455047,165.166827,49.336405,0.028264,0.147957,,56,6
3,2,ind,16,43.719593,30.521198,225.542748,40.471510,0.061430,0.201532,,56,6
3,2,base,16,15.966596,14.527410,114.132403,15.016237,0.030028,0.150632,,43,6
3,2,LOPAMM,17,9.203059,9.295942,155.896806,11.695360,0.024111,0.142004,,66,6
3,2,ind,17,11.508598,19.864800,173.098573,12.627829,0.033242,0.168433,,66,6
3,2,base,17,2.368386,7.842425,61.203689,2.290827,0.013704,0.102883,,48,6
3,2,LOPAMM,18,11.680269,13.428489,155.883689,14.807186,0.021650,0.123699,,72,6
3,2,ind,18,12.178650,29.515510,179.647651,17.478299,0.029725,0.142268,,72,6
3,2,base,18,1.325802,10.566672,64.351011,2.787379,0.015412,0.099336,,51,6
3,2,LOPAMM,19,13.064823,9.958819,129.393275,34.419907,0.014647,0.094853,,68,6
3,2,ind,19,34.891388,33.937094,201.308163,33.033774,0.029119,0.129628,,68,6
3,2,base,19,11.243895,13.289517,70.437739,11.024093,0.010240,0.067169,,49,6
3,2,LOPAMM,20,9.507044,8.472694,152.131345,25.060271,0.020877,0.127700,,62,6
3,2,ind,20,24.677745,21.795579,188.317200,20.870275,0.043081,0.173321,,62,6
3,2,base,20,8.539126,9.378836,83.803764,8.257320,0.016104,0.111350,,46,6
3,2,LOPAMM,21,8.954053,11.849996,115.634865,14.916407,0.019391,0.136241,,66,6
3,2,ind,21,9.693472,21.815567,148.289385,10.625141,0.028731,0.163081,,66,6
3,2,base,21,3.770327,10.013327,59.006497,3.916228,0.013945,0.107352,,48,6
3,2,LOPAMM,22,10.798860,8.391389,142.224572,28.169984,0.015310,0.104391,,54,6
3,2,ind,22,28.322275,27.456594,200.577130,29.194422,0.042038,0.176374,,54,6
3,2,base,22,9.944345,8.771259,91.353448,9.369903,0.014975,0.104470,,42,6
3,2,LOPAMM,23,2.985073,5.782092,114.970804,4.328187,0.021717,0.146967,,56,6
3,2,ind,23,4.247794,11.366708,143.675658,4.769058,0.035348,0.180830,,56,6
3,2,base,23,0.963696,3.406727,67.726942,0.903762,0.020660,0.139807,,43,6
3,2,LOPAMM,24,15.231229,13.059504,146.288126,26.593248,0.017481,0.114596,,70,6
3,2,ind,24,19.573729,48.754580,185.784336,31.112654,0.031846,0.155026,,70,6
3,2,base,24,3.775180,19.142121,72.091503,7.546023,0.013226,0.101371,,50,6
3,2,LOPAMM,25,6.550110,8.807855,98.234943,9.657704,0.012926,0.104109,,66,6
3,2,ind,25,9.924315,17.302712,119.948893,8.413400,0.021737,0.129082,,66,6
3,2,base,25,2.739322,7.206353,44.922926,2.393454,0.007580,0.080778,,48,6
3,2,LOPAMM,26,6.129227,6.802626,119.704357,13.533606,0.019530,0.132075,,58,6
3,2,ind,26,14.057814,19.110063,142.537479,11.710659,0.030500,0.169014,,58,6
3,2,base,26,4.584999,8.378699,69.753370,4.290759,0.017844,0.127983,,44,6
3,2,LOPAMM,27,6.935518,8.692331,91.062878,11.483518,0.013180,0.115064,,52,6
3,2,ind,27,10.616523,18.506275,102.970412,9.371722,0.017091,0.128384,,52,6
3,2,base,27,3.006397,8.531286,44.357133,2.533534,0.009009,0.096795,,41,6
3,2,LOPAMM,28,4.826753,8.619511,84.771126,10.930140,0.012257,0.103363,,56,6
3,2,ind,28,8.059764,22.400930,100.052155,10.297784,0.016935,0.118453,,56,6
3,2,base,28,2.341104,8.412884,39.993721,2.575097,0.008315,0.081482,,43,6
3,2,LOPAMM,29,3.725358,9.240703,107.251502,8.864533,0.016526,0.117038,,66,6
3,2,ind,29,1.373152,11.510755,126.466220,5.844983,0.025482,0.133451,,66,6
3,2,base,29,1.735077,5.860415,44.183043,1.714583,0.009745,0.082600,,48,6
3,2,LOPAMM,30,7.595988,8.632437,106.868870,21.376197,0.011832,0.098053,,58,6
3,2,ind,30,20.209964,23.527471,136.346409,17.653662,0.026739,0.135082,,58,6
3,2,base,30,6.733092,10.061920,62.187310,6.986641,0.012060,0.097908,,44,6
3,2,LOPAMM,31,8.368318,10.728591,130.189085,17.205989,0.017438,0.126555,,60,6
3,2,ind,31,14.912000,23.076484,156.967668,14.304945,0.032598,0.175059,,60,6
3,2,base,31,5.495211,10.959631,71.756715,4.789334,0.016976,0.125489,,45,6
3,2,LOPAMM,32,20.684779,9.281513,156.394796,52.794518,0.015262,0.098828,,58,6
3,2,ind,32,53.771673,32.236873,263.706459,50.876718,0.046382,0.170771,,58,6
